index,type,name,price,rent0,rent1,rent2,rent3,rent4,hotel,multiplier,value
0,start,Início,0,0,0,0,0,0,0,0,200
1,street,Rua A,60,2,10,30,90,160,250,0,0
2,chance,Sorte ou Revés,0,0,0,0,0,0,0,0,0
3,street,Rua B,60,4,20,60,180,320,450,0,0
4,money,Imposto de Renda,0,0,0,0,0,0,0,0,200
5,company,Estação Sul,200,0,0,0,0,0,0,4,0
6,street,Rua C,100,6,30,90,270,400,550,0,0
7,chance,Sorte ou Revés,0,0,0,0,0,0,0,0,0
8,street,Rua D,100,6,30,90,270,400,550,0,0
9,street,Rua E,120,8,40,100,300,450,600,0,0
10,jail,Prisão,0,0,0,0,0,0,0,0,0
11,street,Rua F,140,10,50,150,450,625,750,0,0
12,company,Companhia Elétrica,150,0,0,0,0,0,0,10,0
13,street,Rua G,140,10,50,150,450,625,750,0,0
14,street,Rua H,160,12,60,180,500,700,900,0,0
15,company,Estação Oeste,200,0,0,0,0,0,0,4,0
16,street,Rua I,180,14,70,200,550,750,950,0,0
17,chance,Sorte ou Revés,0,0,0,0,0,0,0,0,0
18,street,Rua J,180,14,70,200,550,750,950,0,0
19,street,Rua K,200,16,80,220,600,800,1000,0,0
20,parking,Estacionamento Livre,0,0,0,0,0,0,0,0,0
21,street,Rua L,220,18,90,250,700,875,1050,0,0
22,chance,Sorte ou Revés,0,0,0,0,0,0,0,0,0
23,street,Rua M,220,18,90,250,700,875,1050,0,0
24,street,Rua N,240,20,100,300,750,925,1100,0,0
25,company,Estação Norte,200,0,0,0,0,0,0,4,0
26,street,Rua O,260,22,110,330,800,975,1150,0,0
27,street,Rua P,260,22,110,330,800,975,1150,0,0
28,company,Companhia de Água,150,0,0,0,0,0,0,10,0
29,street,Rua Q,280,24,120,360,850,1025,1200,0,0
30,gotojail,Vá para Prisão,0,0,0,0,0,0,0,0,0
31,street,Rua R,300,26,130,390,900,1100,1275,0,0
32,street,Rua S,300,26,130,390,900,1100,1275,0,0
33,chance,Sorte ou Revés,0,0,0,0,0,0,0,0,0
34,street,Rua T,320,28,150,450,1000,1200,1400,0,0
35,company,Estação Leste,200,0,0,0,0,0,0,4,0
36,chance,Sorte ou Revés,0,0,0,0,0,0,0,0,0
37,street,Rua U,350,35,175,500,1100,1300,1500,0,0
38,money,Taxa de Luxo,0,0,0,0,0,0,0,0,100
39,street,Rua V,400,50,200,600,1400,1700,2000,0,0
